segment,n,mean_pred_pd,actual_dr,calib_error,flag
small_business,2092,0.1569,0.3513,-0.1944,UNDER-PREDICTS RISK
renewable_energy,135,0.1542,0.3037,-0.1495,UNDER-PREDICTS RISK
moving,1605,0.1393,0.2523,-0.1131,UNDER-PREDICTS RISK
vacation,1647,0.1242,0.221,-0.0968,UNDER-PREDICTS RISK
medical,2722,0.1426,0.2388,-0.0962,UNDER-PREDICTS RISK
other,13962,0.1445,0.227,-0.0824,UNDER-PREDICTS RISK
major_purchase,4934,0.1423,0.2096,-0.0672,UNDER-PREDICTS RISK
house,1377,0.1645,0.228,-0.0635,UNDER-PREDICTS RISK
debt_consolidation,108809,0.1845,0.2359,-0.0514,UNDER-PREDICTS RISK
home_improvement,14346,0.1503,0.1987,-0.0484,OK
car,2252,0.1396,0.1714,-0.0318,OK
credit_card,38589,0.1704,0.1982,-0.0278,OK
